created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2022-11-30T07:20:28+00:00,10273,1405,435,164,,,,,
2022-11-30T07:20:34+00:00,10274,1432,436,162,,,,,
2022-11-30T07:20:41+00:00,10275,1432,428,164,,,,,
2022-11-30T07:20:47+00:00,10276,1419,432,164,,,,,
2022-11-30T07:21:00+00:00,10277,1425,430,164,,,,,
2022-11-30T07:21:07+00:00,10278,1421,434,163,,,,,
2022-11-30T07:21:13+00:00,10279,1451,430,163,,,,,
2022-11-30T07:21:20+00:00,10280,1441,432,164,,,,,
2022-11-30T07:21:26+00:00,10281,1449,435,164,,,,,
2022-11-30T07:21:33+00:00,10282,1475,428,166,,,,,
2022-11-30T07:21:40+00:00,10283,1432,432,168,,,,,
2022-11-30T07:21:46+00:00,10284,1439,427,166,,,,,
2022-11-30T07:21:53+00:00,10285,1401,431,164,,,,,
2022-11-30T07:21:59+00:00,10286,1451,432,162,,,,,
2022-11-30T07:22:12+00:00,10287,1441,435,164,,,,,
2022-11-30T07:22:19+00:00,10288,1432,427,164,,,,,
2022-11-30T07:22:25+00:00,10289,1444,436,163,,,,,
2022-11-30T07:22:32+00:00,10290,1451,431,165,,,,,
2022-11-30T07:22:38+00:00,10291,1489,430,163,,,,,
2022-11-30T07:22:45+00:00,10292,1446,430,164,,,,,
2022-11-30T07:22:52+00:00,10293,1414,434,164,,,,,
2022-11-30T07:22:58+00:00,10294,1461,426,162,,,,,
2022-11-30T07:23:05+00:00,10295,1435,431,164,,,,,
2022-11-30T07:23:11+00:00,10296,1442,433,164,,,,,
2022-11-30T07:23:18+00:00,10297,1452,432,163,,,,,
2022-11-30T07:23:24+00:00,10298,1414,424,2672,,,,,
2022-11-30T07:23:31+00:00,10299,1419,426,2650,,,,,
2022-11-30T07:23:37+00:00,10300,1462,420,2688,,,,,
2022-11-30T07:23:44+00:00,10301,1456,425,2675,,,,,
2022-11-30T07:23:50+00:00,10302,1430,425,2703,,,,,
2022-11-30T07:23:56+00:00,10303,1429,424,2700,,,,,
2022-11-30T07:24:03+00:00,10304,1409,426,2726,,,,,
2022-11-30T07:24:09+00:00,10305,1417,426,2731,,,,,
2022-11-30T07:24:16+00:00,10306,1595,427,2746,,,,,
2022-11-30T07:24:22+00:00,10307,1594,423,2753,,,,,
2022-11-30T07:24:29+00:00,10308,1600,428,2737,,,,,
2022-11-30T07:24:35+00:00,10309,1593,427,2756,,,,,
2022-11-30T07:24:42+00:00,10310,1613,422,2705,,,,,
2022-11-30T07:24:48+00:00,10311,1599,427,2728,,,,,
2022-11-30T07:24:55+00:00,10312,1595,423,2727,,,,,
2022-11-30T07:25:02+00:00,10313,1587,427,2718,,,,,
2022-11-30T07:25:08+00:00,10314,1594,424,2724,,,,,
2022-11-30T07:25:15+00:00,10315,1587,425,2734,,,,,
2022-11-30T07:25:21+00:00,10316,1585,427,2701,,,,,
2022-11-30T07:25:34+00:00,10317,1593,423,2733,,,,,
2022-11-30T07:25:41+00:00,10318,1595,425,2734,,,,,
2022-11-30T07:25:47+00:00,10319,1529,425,2707,,,,,
2022-11-30T07:25:54+00:00,10320,1588,428,2709,,,,,
2022-11-30T07:26:00+00:00,10321,1580,425,2706,,,,,
2022-11-30T07:26:13+00:00,10322,1633,426,2691,,,,,
2022-11-30T07:26:20+00:00,10323,1525,434,166,,,,,
2022-11-30T07:26:26+00:00,10324,1610,434,163,,,,,
2022-11-30T07:26:33+00:00,10325,1583,438,166,,,,,
2022-11-30T07:26:39+00:00,10326,1598,435,166,,,,,
2022-11-30T07:26:46+00:00,10327,1613,439,164,,,,,
2022-11-30T07:26:53+00:00,10328,1610,437,165,,,,,
2022-11-30T07:26:59+00:00,10329,1814,438,168,,,,,
2022-11-30T07:27:05+00:00,10330,1818,439,166,,,,,
2022-11-30T07:27:12+00:00,10331,1841,437,166,,,,,
2022-11-30T07:27:18+00:00,10332,1811,435,166,,,,,
2022-11-30T07:27:25+00:00,10333,1848,434,165,,,,,
2022-11-30T07:27:31+00:00,10334,1874,3474,161,,,,,
2022-11-30T07:27:38+00:00,10335,1821,3465,162,,,,,
2022-11-30T07:27:45+00:00,10336,1792,3410,160,,,,,
2022-11-30T07:27:58+00:00,10337,1832,3440,161,,,,,
2022-11-30T07:28:04+00:00,10338,1792,3444,162,,,,,
2022-11-30T07:28:11+00:00,10339,1826,3402,160,,,,,
2022-11-30T07:28:17+00:00,10340,1816,3386,159,,,,,
2022-11-30T07:28:24+00:00,10341,1817,3449,161,,,,,
2022-11-30T07:28:30+00:00,10342,1814,3445,161,,,,,
2022-11-30T07:28:37+00:00,10343,1794,3456,162,,,,,
2022-11-30T07:28:44+00:00,10344,1787,3447,161,,,,,
2022-11-30T07:28:50+00:00,10345,1785,3410,160,,,,,
2022-11-30T07:28:57+00:00,10346,1811,3394,161,,,,,
2022-11-30T07:29:10+00:00,10347,1755,3459,160,,,,,
2022-11-30T07:29:16+00:00,10348,1768,3412,160,,,,,
2022-11-30T07:29:23+00:00,10349,1808,3370,161,,,,,
2022-11-30T07:29:29+00:00,10350,1798,3404,160,,,,,
2022-11-30T07:29:36+00:00,10351,1787,3449,159,,,,,
2022-11-30T07:29:42+00:00,10352,1785,3399,159,,,,,
2022-11-30T07:29:49+00:00,10353,1778,3451,162,,,,,
2022-11-30T07:30:02+00:00,10354,1768,3421,160,,,,,
2022-11-30T07:30:08+00:00,10355,1797,3448,161,,,,,
2022-11-30T07:30:14+00:00,10356,1777,3387,160,,,,,
2022-11-30T07:30:21+00:00,10357,4154,3440,171,,,,,
2022-11-30T07:30:28+00:00,10358,4184,3453,173,,,,,
2022-11-30T07:30:34+00:00,10359,4088,3457,172,,,,,
2022-11-30T07:30:41+00:00,10360,4132,3395,172,,,,,
2022-11-30T07:30:47+00:00,10361,4160,3442,171,,,,,
2022-11-30T07:30:54+00:00,10362,4085,3444,173,,,,,
2022-11-30T07:31:00+00:00,10363,4129,3427,170,,,,,
2022-11-30T07:31:07+00:00,10364,4074,3441,173,,,,,
2022-11-30T07:31:13+00:00,10365,4139,3431,171,,,,,
2022-11-30T07:31:20+00:00,10366,4106,3433,173,,,,,
2022-11-30T07:31:27+00:00,10367,4137,3397,171,,,,,
2022-11-30T07:31:33+00:00,10368,4072,3435,173,,,,,
2022-11-30T07:31:39+00:00,10369,4124,3450,174,,,,,
2022-11-30T07:31:46+00:00,10370,4070,3437,173,,,,,
2022-11-30T07:31:52+00:00,10371,1787,3368,160,,,,,
2022-11-30T07:31:59+00:00,10372,1793,3455,162,,,,,
2022-11-30T07:32:06+00:00,10373,1802,3446,164,,,,,
2022-11-30T07:32:12+00:00,10374,1806,3351,160,,,,,
2022-11-30T07:32:18+00:00,10375,1793,3361,161,,,,,
2022-11-30T07:32:25+00:00,10376,1760,3413,161,,,,,
2022-11-30T07:32:31+00:00,10377,1756,3450,161,,,,,
2022-11-30T07:32:38+00:00,10378,1774,3443,160,,,,,
2022-11-30T07:32:44+00:00,10379,1773,3408,161,,,,,
2022-11-30T07:32:51+00:00,10380,1767,3392,159,,,,,
2022-11-30T07:33:04+00:00,10381,1804,3418,161,,,,,
2022-11-30T07:33:10+00:00,10382,1794,3446,161,,,,,
2022-11-30T07:33:17+00:00,10383,1762,3432,162,,,,,
2022-11-30T07:33:23+00:00,10384,1764,437,165,,,,,
2022-11-30T07:33:30+00:00,10385,1758,432,165,,,,,
2022-11-30T07:33:36+00:00,10386,1776,435,166,,,,,
2022-11-30T07:33:43+00:00,10387,1754,436,166,,,,,
2022-11-30T07:33:49+00:00,10388,1755,431,166,,,,,
2022-11-30T07:33:56+00:00,10389,1773,434,165,,,,,
2022-11-30T07:34:03+00:00,10390,1770,434,166,,,,,
2022-11-30T07:34:09+00:00,10391,1790,436,166,,,,,
2022-11-30T07:34:16+00:00,10392,1588,436,166,,,,,
2022-11-30T07:34:22+00:00,10393,1583,433,165,,,,,
2022-11-30T07:34:28+00:00,10394,1614,434,165,,,,,
2022-11-30T07:34:35+00:00,10395,1612,432,164,,,,,
2022-11-30T07:34:41+00:00,10396,1523,432,166,,,,,
2022-11-30T07:34:47+00:00,10397,1594,434,165,,,,,
2022-11-30T07:34:54+00:00,10398,1589,436,166,,,,,
