$A,2022-09-07 11:49,E8DB84DF97A9,3.58
$B,ESP_node_OTA_v6_4_12_13.ino  15:34:49  Jun 11 2022
YYYY-MM-DD hh:mm,Temp,Humid
$C,ESP_node_OTA_v2.ino  19:43:10  Apr 26 2022
YYYY-MM-DD hh:mm,Temp,Humid
2022-06-14 20:04,27,47
$C,2022-06-14 20:08,5,wills room
$D,Memory,DHT22,Continue
YYYY-MM-DD hh:mm,Temp,Humid
2022-06-14 20:08,26,46
$C,2022-06-15 10:51,5,
$D,Memory,DHT22,Continue
YYYY-MM-DD hh:mm,Temp,Humid
2022-06-15 10:51,22,55
$C,2022-07-02 11:51,5,Lewis Flat
$D,Memory,DHT22,Continue
YYYY-MM-DD hh:mm,Temp,Humid
2022-07-02 11:51,2147483647,2147483647
2022-07-02 11:56,2147483647,2147483647
2022-07-02 12:01,2147483647,2147483647
2022-07-02 12:06,2147483647,2147483647
2022-07-02 12:11,2147483647,2147483647
2022-07-02 12:16,2147483647,2147483647
2022-07-02 12:21,2147483647,2147483647
2022-07-02 12:26,2147483647,2147483647
2022-07-02 12:31,23,93
2022-07-02 12:36,23,97
2022-07-02 12:41,23,98
2022-07-02 12:46,23,98
2022-07-02 12:51,23,96
2022-07-02 12:56,23,95
2022-07-02 13:01,23,94
2022-07-02 13:06,23,94
2022-07-02 13:11,23,93
2022-07-02 13:16,23,93
2022-07-02 13:21,23,92
2022-07-02 13:26,23,91
2022-07-02 13:31,23,90
2022-07-02 13:36,23,89
2022-07-02 13:41,23,89
2022-07-02 13:46,23,93
2022-07-02 13:51,22,91
2022-07-02 13:56,22,91
2022-07-02 14:01,22,91
2022-07-02 14:06,22,92
2022-07-02 14:11,22,94
2022-07-02 14:16,22,100
2022-07-02 14:21,23,100
2022-07-02 14:26,23,100
2022-07-02 14:31,24,100
2022-07-02 14:36,23,100
2022-07-02 14:41,23,100
2022-07-02 14:46,23,100
2022-07-02 14:51,23,100
2022-07-02 14:56,22,100
2022-07-02 15:01,22,100
2022-07-02 15:06,22,100
2022-07-02 15:11,22,100
2022-07-02 15:16,22,100
2022-07-02 15:21,22,99
2022-07-02 15:26,22,100
2022-07-02 15:31,22,100
2022-07-02 15:36,22,99
2022-07-02 15:41,22,98
2022-07-02 15:46,22,97
2022-07-02 15:51,22,100
2022-07-02 15:56,22,100
2022-07-02 16:01,23,100
2022-07-02 16:06,24,100
2022-07-02 16:11,23,100
2022-07-02 16:16,23,100
2022-07-02 16:21,23,100
2022-07-02 16:26,23,100
2022-07-02 16:31,23,100
2022-07-02 16:36,23,100
2022-07-02 16:41,22,100
2022-07-02 16:46,22,100
2022-07-02 16:51,22,99
2022-07-02 16:56,22,97
2022-07-02 17:01,22,96
2022-07-02 17:06,22,96
2022-07-02 17:11,22,95
2022-07-02 17:16,22,95
2022-07-02 17:21,22,93
2022-07-02 17:26,22,93
2022-07-02 17:31,22,92
2022-07-02 17:36,22,94
2022-07-02 17:41,22,92
2022-07-02 17:46,22,92
2022-07-02 17:51,22,92
2022-07-02 17:56,22,92
2022-07-02 18:01,22,90
2022-07-02 18:06,22,91
2022-07-02 18:11,22,90
2022-07-02 18:16,22,90
2022-07-02 18:21,22,90
2022-07-02 18:26,22,90
2022-07-02 18:31,22,90
2022-07-02 18:36,22,91
2022-07-02 18:41,22,89
2022-07-02 18:46,22,90
2022-07-02 18:51,22,89
2022-07-02 18:56,22,89
2022-07-02 19:01,22,89
2022-07-02 19:06,22,89
2022-07-02 19:11,22,90
2022-07-02 19:16,22,89
2022-07-02 19:21,22,89
2022-07-02 19:26,22,89
2022-07-02 19:31,22,90
2022-07-02 19:36,22,89
2022-07-02 19:41,22,90
2022-07-02 19:46,22,89
2022-07-02 19:51,22,89
2022-07-02 19:56,22,89
2022-07-02 20:01,22,89
2022-07-02 20:06,22,89
2022-07-02 20:11,22,89
2022-07-02 20:16,22,89
2022-07-02 20:21,22,88
2022-07-02 20:26,22,88
2022-07-02 20:31,22,88
2022-07-02 20:36,22,87
2022-07-02 20:41,22,87
2022-07-02 20:46,22,87
2022-07-02 20:51,22,86
2022-07-02 20:56,22,85
2022-07-02 21:01,22,86
2022-07-02 21:06,22,85
2022-07-02 21:11,22,85
2022-07-02 21:16,22,85
2022-07-02 21:21,22,85
2022-07-02 21:26,22,85
2022-07-02 21:31,22,84
2022-07-02 21:36,22,85
2022-07-02 21:41,22,84
2022-07-02 21:46,22,84
2022-07-02 21:51,22,84
2022-07-02 21:56,22,84
2022-07-02 22:01,22,85
2022-07-02 22:06,22,85
2022-07-02 22:11,22,84
2022-07-02 22:16,22,85
2022-07-02 22:21,22,85
2022-07-02 22:26,22,85
2022-07-02 22:31,22,85
2022-07-02 22:36,22,84
2022-07-02 22:41,22,84
2022-07-02 22:46,22,84
2022-07-02 22:51,22,84
2022-07-02 22:56,22,84
2022-07-02 23:01,22,85
2022-07-02 23:06,22,84
2022-07-02 23:11,22,84
2022-07-02 23:16,22,84
2022-07-02 23:21,22,84
2022-07-02 23:26,22,85
2022-07-02 23:31,22,84
2022-07-02 23:36,22,84
2022-07-02 23:41,22,84
2022-07-02 23:46,21,84
2022-07-02 23:51,21,84
2022-07-02 23:56,21,84
2022-07-03 00:01,21,85
2022-07-03 00:06,22,87
2022-07-03 00:11,21,87
2022-07-03 00:16,22,87
2022-07-03 00:21,22,87
2022-07-03 00:26,21,87
2022-07-03 00:31,21,87
2022-07-03 00:36,21,87
2022-07-03 00:41,21,86
2022-07-03 00:46,21,87
2022-07-03 00:51,21,87
2022-07-03 00:56,21,87
2022-07-03 01:01,21,87
2022-07-03 01:06,21,86
2022-07-03 01:11,21,86
2022-07-03 01:16,21,86
2022-07-03 01:21,21,86
2022-07-03 01:26,21,86
2022-07-03 01:31,21,86
2022-07-03 01:36,21,86
2022-07-03 01:41,21,86
2022-07-03 01:46,21,86
