timestamp,temperature,rh
2023-01-14T05:13:44Z,10,83
2023-01-14T05:15:05Z,12,80
2023-01-14T05:18:44Z,10,83
2023-01-14T05:20:04Z,12,81
2023-01-14T05:23:43Z,10,83
2023-01-14T05:25:03Z,12,81
2023-01-14T05:28:43Z,10,83
2023-01-14T05:30:03Z,12,80
2023-01-14T05:33:42Z,10,83
2023-01-14T05:35:02Z,12,81
2023-01-14T05:38:42Z,10,83
2023-01-14T05:40:01Z,12,80
2023-01-14T05:43:41Z,10,83
2023-01-14T05:45:01Z,12,81
2023-01-14T05:48:41Z,10,83
2023-01-14T05:50:00Z,12,81
2023-01-14T05:53:40Z,10,83
2023-01-14T05:55:00Z,12,81
2023-01-14T05:58:39Z,10,83
2023-01-14T05:59:59Z,12,81
2023-01-14T06:03:39Z,10,83
2023-01-14T06:04:58Z,12,81
2023-01-14T06:08:38Z,10,83
2023-01-14T06:09:58Z,12,81
2023-01-14T06:13:38Z,10,83
2023-01-14T06:14:57Z,12,81
2023-01-14T06:18:37Z,10,83
2023-01-14T06:19:56Z,12,81
2023-01-14T06:23:36Z,10,83
2023-01-14T06:24:56Z,12,81
2023-01-14T06:28:36Z,10,83
2023-01-14T06:29:55Z,12,81
2023-01-14T06:33:35Z,10,83
2023-01-14T06:34:54Z,12,81
2023-01-14T06:38:34Z,10,83
2023-01-14T06:39:54Z,12,81
2023-01-14T06:43:34Z,10,83
2023-01-14T06:44:53Z,12,81
2023-01-14T06:48:33Z,10,83
2023-01-14T06:49:52Z,12,81
2023-01-14T06:53:33Z,10,83
2023-01-14T06:54:52Z,12,81
2023-01-14T06:58:32Z,10,83
2023-01-14T06:59:51Z,12,81
2023-01-14T07:03:32Z,10,83
2023-01-14T07:04:50Z,12,81
2023-01-14T07:08:31Z,10,83
2023-01-14T07:09:50Z,12,81
2023-01-14T07:13:31Z,10,83
2023-01-14T07:14:49Z,12,81
2023-01-14T07:18:30Z,10,83
2023-01-14T07:19:49Z,11,81
2023-01-14T07:24:48Z,11,81
2023-01-14T07:28:29Z,10,83
2023-01-14T07:29:48Z,12,81
2023-01-14T07:33:28Z,10,83
2023-01-14T07:38:28Z,10,83
